id,gold,pred,latency_ms,expert_id
0,18,18,27089.0,2
1,3,3,18451.8,2
2,70000,40,50821.4,2
3,540,60,42267.8,2
4,20,20,40995.4,2
5,64,64,41278.9,2
6,260,260,26369.7,2
7,160,110,43499.8,2
8,45,60,49903.9,2
9,460,460,23311.1,2
10,366,366,35705.1,2
11,694,694,33272.4,2
12,13,12,36708.7,2
13,18,3,44979.4,2
14,60,60,42248.2,2
15,125,125,34184.0,2
16,230,750,44195.6,2
17,57500,15,42420.5,2
18,7,4,42913.7,2
19,6,6,28392.0,2
20,15,24,43224.5,2
21,14,6,12155.8,2
22,7,20,41889.0,2
23,8,8,12354.2,2
24,26,,42794.3,2
25,2,2,45269.1,2
26,243,80,42243.2,2
27,16,16,42865.2,2
28,25,500,45380.8,2
29,104,122,32668.7,2
30,109,109,25456.3,2
31,80,3,29315.8,2
32,35,15,17533.7,2
33,70,70,44706.2,2
34,23,23,14091.0,2
35,9,9,37664.5,2
36,75,5,6434.9,2
37,2,,42867.3,2
38,10,10,28915.8,2
39,18,108,42468.0,2
40,8,70,42944.9,2
41,200,700,42887.7,2
42,26,52,28352.5,2
43,48,4.1,44407.4,2
44,20,200,22470.5,2
45,104,104,30098.9,2
46,163,163,29916.4,2
47,800,800,32635.4,2
48,8,8,18330.5,2
49,30,30,21565.0,2
50,294,294,37985.1,2
51,5,5,41902.7,2
52,15,15,23031.0,2
53,40,,42871.8,2
54,40,39,30302.7,2
55,14,6,44198.7,2
56,3,12,43248.2,2
57,83,83,41101.6,2
58,57,4,43029.0,2
59,187,,45574.0,2
60,17,20,44249.6,2
61,1430,10,43589.3,2
62,25000,550000,45221.1,2
63,1596,1596,29244.4,2
64,300,1,43281.8,2
65,36,12,40116.0,2
66,48,48,28469.4,2
67,595,595,21348.4,2
68,36,4,49096.4,2
69,60,60,26018.7,2
70,7425,7425,30259.0,2
71,60,60,13258.6,2
72,221,12,43554.6,2
73,255,255,30365.1,2
74,88,88,36368.8,2
75,60,4,43417.0,2
76,5,3,42807.7,2
77,100,5,42816.2,2
78,6,9,43026.1,2
79,70,100,43699.5,2
80,10,10,21581.7,2
81,17,17,19132.4,2
82,623,200,44703.9,2
83,600,600,15823.2,2
84,15,15,35963.5,2
85,44,44,22037.2,2
86,22,22,19687.8,2
87,9360,7920,27014.2,2
88,8000,8000,39350.9,2
89,24,,45817.4,2
90,225,225,34006.0,2
91,28,3,46769.2,2
92,4,180,29572.2,2
93,36,36.36,45084.1,2
94,348,348,31203.6,2
95,40,40,21371.9,2
96,3,3,19148.8,2
97,12,5,42903.5,2
98,5,20,31703.7,2
99,58,58,24128.0,2
100,175,175,36714.5,2
101,6,4,11041.5,2
102,26,10,23484.1,2
103,140,.5,42360.3,2
104,500,500,26219.1,2
105,20,6,43617.6,2
106,72,384,42996.9,2
107,3,3,37600.7,2
108,50,1,43119.3,2
109,28,28,17474.4,2
110,45,45,32005.9,2
111,16,32,43359.6,2
112,24,24,20488.7,2
113,25,195,35707.5,2
114,6,6,38386.9,2
115,90,,40097.1,2
116,42,42,27961.8,2
117,360,5,41795.7,2
118,4,4,23522.1,2
119,95200,560,43980.2,2
120,240,240,26367.8,2
121,27,27,27377.2,2
122,48,29,31290.6,2
123,50,20,42818.0,2
124,10,10,18832.8,2
125,10,10,17689.1,2
126,82,82,13822.1,2
127,120,120,11981.1,2
128,880,880,31696.7,2
129,10000,70000,43312.2,2
130,30,30,18884.4,2
131,940,200,42844.3,2
132,60,36,43601.1,2
133,13,13,16686.6,2
134,720,3,42806.7,2
135,40,55,19046.2,2
136,6,6,20653.0,2
137,29,29,41395.6,2
138,105,105,37639.5,2
139,70,70,17601.6,2
140,20,20,21243.7,2
141,400,400,42144.6,2
142,140,60,32955.8,2
143,16,20.8,25706.7,2
144,20,14,39821.7,2
145,4000,4000,37891.1,2
146,125,2125,42669.8,2
147,75,5,38608.1,2
148,30,30,18197.0,2
149,16,16,16558.9,2
150,4,4,29332.8,2
151,5,4.25,22139.2,2
152,4,4,17776.6,2
153,48,8,43222.7,2
154,272,272,31595.4,2
155,280,280,42364.6,2
156,1400,1400,33651.7,2
157,80,80,36349.5,2
158,34,34,17439.8,2
159,15,15,22485.7,2
160,16,16,13281.6,2
161,32,32,29977.8,2
162,92,59.71968,47164.6,2
163,50,28,39368.0,2
164,15,15,23517.2,2
165,77,25,42443.3,2
166,5,5,25825.2,2
167,16,3,42870.7,2
168,18,10,41902.2,2
169,120,2,42579.2,2
170,150,150,16957.4,2
171,1210,10,41402.5,2
172,51,20,42746.9,2
173,18000,18000,30906.0,2
174,95,95,46827.2,2
175,15,9,38763.3,2
176,100,15,41730.4,2
177,350,350,44122.3,2
178,122,122,19219.3,2
179,130,130,29328.7,2
180,20,20,16159.1,2
181,160,160,19051.3,2
182,23,5,6034.5,2
183,2,70000,43064.4,2
184,25,6,43136.2,2
185,30,240,28932.6,2
186,5,5,42474.7,2
187,106,4,44891.0,2
188,50,2,42770.2,2
189,34,14.5,42648.9,2
190,360,360,25919.0,2
191,5,5,13715.4,2
192,91,91,30043.8,2
193,24,24,27418.2,2
194,10,10,41804.0,2
195,12,12.00,17734.2,2
196,120,0,45817.6,2
197,6277,6277,21575.9,2
198,320,320,35736.0,2
199,7500,5,42587.0,2
200,55,55,15611.6,2
201,200,114200,32350.3,2
202,100,100,18857.9,2
203,31,8,44505.9,2
204,98,98,44804.3,2
205,98,120,42545.4,2
206,860,2,42488.4,2
207,2600,2,41795.3,2
208,76,76,19497.3,2
209,145,145,38995.4,2
210,10,10,36705.3,2
211,4,1,43692.5,2
212,5,5,23730.0,2
213,250,250,21997.0,2
214,8,2,43195.8,2
215,44,3,46886.5,2
216,220,220,25738.8,2
217,15,15,14156.3,2
218,45,45,37227.0,2
219,54,54,23927.7,2
220,70,70,28131.7,2
221,90,90,28769.1,2
222,140,140,13595.6,2
223,20000,20000,29678.4,2
224,180,180,23244.6,2
225,9,18,24026.8,2
226,33,33,35901.4,2
227,9,9.00,30036.8,2
228,1,1.5,27791.1,2
229,21,21,29762.0,2
230,0,276000,29525.2,2
231,50,50,20092.7,2
232,75,75,11985.9,2
233,12,12,25848.2,2
234,21,21,23230.7,2
235,10,10,16598.6,2
236,31,35,40958.0,2
237,90,1,42380.5,2
238,68,0,43124.1,2
239,280,280,24585.1,2
240,21,21,30683.9,2
241,6,,43016.6,2
242,3,3,35162.4,2
243,250,250,25804.8,2
244,20,20,34349.4,2
245,7,7,18683.5,2
246,27000,5400,24273.4,2
247,32,32,24712.4,2
248,300,,44753.1,2
249,600,200,47091.5,2
250,17,27,35076.5,2
251,70,5,41588.6,2
252,73,27,44415.8,2
253,18,8,41737.5,2
254,84,84,14815.8,2
255,192,96,31696.5,2
256,45,,43473.2,2
257,5600,5600,39959.5,2
258,6,3,43192.4,2
259,168,168,30361.6,2
260,11,1.5,42701.1,2
261,62,62,17854.6,2
262,270,270,13193.0,2
263,8,1,42393.9,2
264,400,400,16850.2,2
265,9500,9500,34636.0,2
266,118000,118000,28266.9,2
267,91,71,30384.4,2
268,1375,1375,24864.2,2
269,4,2,25906.2,2
270,762,762,24719.6,2
271,20,20,22022.8,2
272,5,4,41502.0,2
273,315,315,36840.5,2
274,3200,3200,18077.7,2
275,138,138,25346.9,2
276,9,9,36565.0,2
277,4,2.65,30259.8,2
278,40,5,41536.3,2
279,6,6,25691.5,2
280,7,180,44015.9,2
281,2450,2450,30730.8,2
282,195,195,33221.6,2
283,68,450,42246.8,2
284,360,360,24568.1,2
285,21,35,44191.3,2
286,90,55,43070.1,2
287,8,8,27509.0,2
288,3,3,20410.9,2
289,16,16,26426.4,2
290,390,390,19821.4,2
291,2,0,42727.0,2
292,75,3,42947.2,2
293,83,,43103.9,2
294,3,3,19006.3,2
295,370,190,42225.8,2
296,3,3,42469.1,2
297,55,43,39499.5,2
298,500,1200,28254.8,2
299,31800,31800,40544.2,2
300,78,78,27032.7,2
301,8,16,18011.6,2
302,15,180,44832.7,2
303,1300,4,43021.7,2
304,3200,3300,35763.6,2
305,4,60,42450.7,2
306,10,10,18469.6,2
307,16,4,36497.5,2
308,6,4,29376.0,2
309,8,8,22815.3,2
