id,gold,pred,latency_ms,expert_id
0,18,18,6533.2,2
1,3,3,8717.0,2
2,70000,70000,2661.8,2
3,540,540,4303.1,2
4,20,9,9336.7,2
5,64,80,7561.6,2
6,260,260,19985.2,2
7,160,200,55723.0,2
8,45,120,6316.0,2
9,460,550.00,55810.7,2
10,366,366,56950.3,2
11,694,694,11846.5,2
12,13,15,11271.0,2
13,18,30,10228.6,2
14,60,25,771.8,2
15,125,,57403.9,2
16,230,130,3399.1,2
17,57500,12000,11537.7,2
18,7,12,764.8,2
19,6,6,58622.1,2
20,15,12,813.2,2
21,14,18,6243.9,2
22,7,8,29395.3,2
23,8,0,56153.0,2
24,26,14.50,916.8,2
25,2,10,58993.2,2
26,243,165,1009.1,2
27,16,14400.00,59264.1,2
28,25,15,56055.7,2
29,104,8,60771.7,2
30,109,10,57819.7,2
31,80,70,10209.3,2
32,35,20,3114.3,2
33,70,80,533.7,2
34,23,39,2607.2,2
35,9,19,27565.0,2
36,75,300.00,56689.0,2
37,2,5,56477.0,2
38,10,12,589.3,2
39,18,12,7242.1,2
40,8,8,13467.2,2
41,200,1600,56080.8,2
42,26,8,56160.1,2
43,48,,56260.6,2
44,20,140,10277.3,2
45,104,24,6561.4,2
46,163,120,812.6,2
47,800,400.40,32121.1,2
48,8,8,11849.2,2
49,30,30,9382.6,2
50,294,292.00,58495.6,2
51,5,1.5,1300.5,2
52,15,926632960,55855.8,2
53,40,120,55771.1,2
54,40,20,62126.7,2
55,14,15,4182.3,2
56,3,6,487.4,2
57,83,1000,5088.3,2
58,57,51.00,9919.8,2
59,187,187,9204.4,2
60,17,80,57072.3,2
61,1430,10,56161.8,2
62,25000,100000,2062.0,2
63,1596,2100,21063.0,2
64,300,1200,4556.9,2
65,36,20,55892.3,2
66,48,-76400,29035.2,2
67,595,595,9457.6,2
68,36,10,3217.1,2
69,60,8,14789.9,2
70,7425,1,56113.2,2
71,60,60,4935.2,2
72,221,132,57023.1,2
73,255,1800,12418.5,2
74,88,1.61,24663.0,2
75,60,8,486.2,2
76,5,2,56216.3,2
77,100,100,13333.1,2
78,6,12,56164.4,2
79,70,30,56085.8,2
80,10,12,56080.9,2
81,17,68,18927.9,2
82,623,2,55645.2,2
83,600,500,800.8,2
84,15,14,748.4,2
85,44,10404,56344.7,2
86,22,10,3614.5,2
87,9360,10800,4929.7,2
88,8000,8000,20493.4,2
89,24,24,56515.5,2
90,225,225,26436.7,2
91,28,11,56009.6,2
92,4,12,58030.9,2
93,36,42,5400.9,2
94,348,100,8759.3,2
95,40,1,62277.4,2
96,3,18,57131.4,2
97,12,30,55739.6,2
98,5,10,763.0,2
99,58,58,10181.5,2
100,175,685,13146.9,2
101,6,40,56852.5,2
102,26,24,55929.6,2
103,140,4200,55893.4,2
104,500,600,2504.8,2
105,20,15,56045.1,2
106,72,1077,20702.9,2
107,3,1,2475.7,2
108,50,10,56333.5,2
109,28,28.8,7682.1,2
110,45,54,7066.1,2
111,16,23,56537.2,2
112,24,12,3283.3,2
113,25,20,57124.0,2
114,6,1000000000000000000000000000000,56642.4,2
115,90,1,55983.2,2
116,42,72,58380.8,2
117,360,360,823.2,2
118,4,18,56319.2,2
119,95200,,33951.6,2
120,240,900,600.2,2
121,27,23,57050.1,2
122,48,34,57429.4,2
123,50,10,546.3,2
124,10,60,57544.6,2
125,10,12,5165.3,2
126,82,102,57982.1,2
127,120,120,4732.3,2
128,880,180,56018.2,2
129,10000,120000,56397.3,2
130,30,30,6935.0,2
131,940,60,5957.5,2
132,60,36,755.5,2
133,13,24,769.0,2
134,720,720,6445.3,2
135,40,50,56035.1,2
136,6,18,57248.4,2
137,29,20,557.5,2
138,105,5,56674.1,2
139,70,28,755.3,2
140,20,60,1128.1,2
141,400,350,591.2,2
142,140,35,9633.6,2
143,16,16.50,15631.8,2
144,20,68,9887.2,2
145,4000,1200,525.5,2
146,125,1500,3317.0,2
147,75,6,56518.8,2
148,30,10,59784.4,2
149,16,76,2789.2,2
150,4,4,17009.1,2
151,5,1000,8275.1,2
152,4,4,8450.1,2
153,48,108,830.1,2
154,272,100,7648.2,2
155,280,12000,716.4,2
156,1400,340,20328.1,2
157,80,150,56376.0,2
158,34,34,7389.9,2
159,15,3,6880.8,2
160,16,28,2055.3,2
161,32,30,56169.4,2
162,92,100,811.0,2
163,50,5,56274.7,2
164,15,110,55920.5,2
165,77,267,16970.2,2
166,5,5,699.0,2
167,16,14,56882.8,2
168,18,28,4631.2,2
169,120,120,56528.2,2
170,150,100,5279.2,2
171,1210,10,56086.7,2
172,51,40,2664.6,2
173,18000,4000,35018.8,2
174,95,120,56122.7,2
175,15,2,56089.4,2
176,100,80,56070.0,2
177,350,,56585.8,2
178,122,54,58257.5,2
179,130,130,56234.9,2
180,20,20,56104.8,2
181,160,100,815.1,2
182,23,2,22439.2,2
183,2,5,12142.0,2
184,25,,1741.0,2
185,30,30,7607.8,2
186,5,8,56397.3,2
187,106,6,16094.3,2
188,50,,56031.0,2
189,34,10.5,3892.2,2
190,360,72,4590.5,2
191,5,.5,56450.5,2
192,91,100,56454.2,2
193,24,30,56014.9,2
194,10,10,6120.4,2
195,12,12,6659.2,2
196,120,800,580.8,2
197,6277,6277,56631.7,2
198,320,320,57734.8,2
199,7500,5000,58203.3,2
200,55,55,5108.0,2
201,200,265000,15344.1,2
202,100,100,56053.4,2
203,31,16,759.9,2
204,98,50,6937.9,2
205,98,120.00,21865.6,2
206,860,245,16544.3,2
207,2600,4200,19930.8,2
208,76,20,55978.8,2
209,145,240,14823.1,2
210,10,10,56708.0,2
211,4,10,10183.1,2
212,5,3,57254.5,2
213,250,400,4053.7,2
214,8,12,58389.7,2
215,44,10,55945.9,2
216,220,24400,9149.0,2
217,15,11,5349.4,2
218,45,21,57936.8,2
219,54,10,56701.0,2
220,70,130,58319.3,2
221,90,90,11716.4,2
222,140,140,56289.6,2
223,20000,45000,56086.5,2
224,180,180,9020.1,2
225,9,12,5079.8,2
226,33,1,56274.5,2
227,9,10.5,876.0,2
228,1,1,56444.3,2
229,21,77,57327.6,2
230,0,200,19683.7,2
231,50,50,56244.8,2
232,75,50,56514.4,2
233,12,12,56191.6,2
234,21,12,751.1,2
235,10,10,656.9,2
236,31,20,11594.2,2
237,90,60,751.1,2
238,68,63,11233.9,2
239,280,1200,2848.5,2
240,21,21,22085.2,2
241,6,5,12106.9,2
242,3,120,2381.5,2
243,250,7500,56184.7,2
244,20,3,16900.5,2
245,7,16,56821.4,2
246,27000,1500,8219.1,2
247,32,39,3168.9,2
248,300,300,10788.0,2
249,600,4000,15750.4,2
250,17,3,56399.0,2
251,70,70,56103.8,2
252,73,82,13729.4,2
253,18,5,56319.9,2
254,84,12,761.9,2
255,192,8,56297.1,2
256,45,10,1576.5,2
257,5600,7600,19169.5,2
258,6,.50,57294.6,2
259,168,4,58304.2,2
260,11,18,56204.4,2
261,62,300,57137.3,2
262,270,100,4310.4,2
263,8,10,57132.7,2
264,400,400,11244.2,2
265,9500,10000,66534.0,2
266,118000,,22960.2,2
267,91,400,66847.5,2
268,1375,75,65294.9,2
269,4,4,14185.4,2
270,762,762,13099.3,2
271,20,20,69833.0,2
272,5,5.00,58555.5,2
273,315,300,832.3,2
274,3200,3,57593.7,2
275,138,180,8977.9,2
276,9,80,56268.8,2
277,4,4,58756.3,2
278,40,30,56746.1,2
279,6,12,1777.3,2
280,7,7,56544.7,2
281,2450,1400,55913.9,2
282,195,600,56397.9,2
283,68,5,56523.7,2
284,360,360,14533.9,2
285,21,18,3986.8,2
286,90,540,55974.9,2
287,8,10,530.2,2
288,3,4,9667.9,2
289,16,120,1884.9,2
290,390,215,11976.8,2
291,2,8,56020.6,2
292,75,150,4564.1,2
293,83,50,9376.5,2
294,3,-4,56183.5,2
295,370,10,58662.3,2
296,3,14,744.4,2
297,55,10,9029.1,2
298,500,900,6512.7,2
299,31800,31800,10374.4,2
300,78,46,55805.0,2
301,8,16,4246.7,2
302,15,25,58057.6,2
303,1300,4000,17421.5,2
304,3200,10,56216.5,2
305,4,20,60038.0,2
306,10,30,55759.6,2
307,16,2,710.8,2
308,6,4,58013.2,2
309,8,15,758.4,2
310,2050,2050,25660.3,2
311,91,133,8380.9,2
312,32,38,533.0,2
313,120000,3450,55901.7,2
314,30,135,34578.0,2
